"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"avgConnec1","avgConnec","avgConnec1_0.13920236837239_PolyDFE.output","0.13920236837239","0.500787145519323","0.245617973292527","0.126461867759099","0.126981931899051","0.000105038973730043","4.60425562699429e-05","0.30080046301","-410.93214568","0.00015108153","0.84157125005","1.93645329112374e-05","0.00267526453","0.00076","Connectivity","0.13920236837239","PolyDFE.input","0.0125376688394133","0.00266253143569048","0.212362558765356","avgConnec","0.0198789325346233","0.13920236837239","483","1.18072233724408e-08","0.252711327644577","265466.07199533"
"avgConnec10","avgConnec","avgConnec10_0.318973331899846_PolyDFE.output","0.318973331899846","0.576340907436187","0.242922937696989","0.0939307021101899","0.0556952643366346","0.00920728667826554","0.0219029017417345","0.43035144458","-434.57573005","0.03111018842","2.84968287754","0.26020826337763","3.888906e-05","0.00045","Connectivity","0.318973331899846","PolyDFE.input","0.0118596111244723","0.001991581878086","0.16792977924684","avgConnec","0.00354186361426776","0.318973331899846","472","1.08191448382126e-08","0.175732762971167","274042.248759459"
"avgConnec11","avgConnec","avgConnec11_0.332942860864948_PolyDFE.output","0.332942860864948","0.612861971203475","0.172602888499851","0.0956836439417535","0.117311349704921","0.000836933452948441","0.000703213197051578","0.25917029846","-1478.9343925","0.00154014665","1.27555445018","0.00156295653705808","0.00090284425","0.00032","Connectivity","0.332942860864948","PolyDFE.input","0.0111308826031561","0.00207208774280378","0.186156643338978","avgConnec","0.00404333160271648","0.332942860864948","502","1.09132158235743e-08","0.186349043083456","254986.311622089"
"avgConnec12","avgConnec","avgConnec12_0.346281757496599_PolyDFE.output","0.346281757496599","0.598143450610583","0.213957725757825","0.0971145500833361","0.077818424348255","0.00210816861318674","0.0108576805868132","0.35233125748","-661.36143251","0.0129658492","5.63551097902","0.354477161598142","0.00269326741","0.00013","Connectivity","0.346281757496599","PolyDFE.input","0.0116677139342822","0.00196344078939805","0.168279819033705","avgConnec","0.00404688855124105","0.346281757496599","465","1.08043010752688e-08","0.187635617117484","269978.452400539"
"avgConnec13","avgConnec","avgConnec13_0.359523766470903_PolyDFE.output","0.359523766470903","0.596840639701487","0.190327669156254","0.101001579707961","0.111767956624298","6.01449645922791e-05","2.00984540776883e-06","0.27982575875","-1023.0867278","6.215481e-05","0.29141176872","1.1917312304941e-07","0.01389977888","7e-05","Connectivity","0.359523766470903","PolyDFE.input","0.0110088464504719","0.00203934948494978","0.185246428326953","avgConnec","0.00368177551546173","0.359523766470903","443","1.01251567594683e-08","0.183632465518804","271819.160729964"
"avgConnec14","avgConnec","avgConnec14_0.371474601806286_PolyDFE.output","0.371474601806286","0.63288710344953","0.177691490212494","0.0914407784871276","0.095282683760849","0.000143845052376523","0.00255409903762349","0.29238436771","-1295.7211152","0.00269794409","18.251339026","0.317340072168422","0.00425666485","0.00067","Connectivity","0.371474601806286","PolyDFE.input","0.0116839619466445","0.0019406392672045","0.166094281722804","avgConnec","0.00327606921479146","0.371474601806286","407","1.01340679522498e-08","0.184909425964081","288234.744470276"
"avgConnec15","avgConnec","avgConnec15_0.382722690486263_PolyDFE.output","0.382722690486263","0.593923824956075","0.208981939988472","0.063982984623744","0.0265162184517083","0.106594324822675","7.07157325141594e-07","0.53464668359","-480.26525605","0.10659503198","0.08386943868","0","0.00464007755","0.00089","Connectivity","0.382722690486263","PolyDFE.input","0.0109493162504863","0.00208516704561326","0.190438105714652","avgConnec","0.00342103215037832","0.382722690486263","403","1.01174273754919e-08","0.19193873675516","270555.840040164"
"avgConnec16","avgConnec","avgConnec16_0.394917843502789_PolyDFE.output","0.394917843502789","0.594996304029747","0.195764536984906","0.10173368731459","0.107443152960756","6.17581776013454e-05","5.60532398607982e-07","0.28960937081","-925.49039613","6.231871e-05","0.21226330274","0","0.01186623448","9e-05","Connectivity","0.394917843502789","PolyDFE.input","0.0096554906182713","0.00175838256798466","0.182112192689332","avgConnec","0.00348911998629505","0.394917843502789","400","9.95434343434343e-09","0.181044321813863","242494.411659511"
"avgConnec17","avgConnec","avgConnec17_0.407694045916036_PolyDFE.output","0.407694045916036","0.62263389065378","0.186684329059035","0.0915311036885057","0.0861110449186796","0.0071789778121305","0.00586065386786949","0.31477120592","-1036.4226657","0.01303963168","1.25041868427","0.013217745612477","0.00052356324","0.00068","Connectivity","0.407694045916036","PolyDFE.input","0.00988167233692842","0.00167365037006319","0.169369142489036","avgConnec","0.00393471098002201","0.407694045916036","408","9.93345216874628e-09","0.170904178093594","248696.831903495"
"avgConnec18","avgConnec","avgConnec18_0.421984244235368_PolyDFE.output","0.421984244235368","0.616215983684932","0.204332670262665","0.0891529336732465","0.066709042039156","0.0100736271252161","0.0135157432147839","0.36908874444","-728.6776805","0.02358937034","1.79552222589","0.0787449885663465","0.00859920356","2e-04","Connectivity","0.421984244235368","PolyDFE.input","0.0100823985703828","0.00164977493486364","0.163629212170789","avgConnec","0.00420389656745839","0.421984244235368","384","9.77333228114478e-09","0.162076323249834","257905.857499451"
