"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"avgConnec1","avgConnec","avgConnec1_0.161282322986988_PolyDFE.output","0.161282322986988","0.535107197377081","0.218269320017183","0.116783816218114","0.129593394297621","0.000152946882695293","9.33252073047619e-05","0.27940943521","-608.26948339","0.00024627209","1.03055945202","8.90794739000288e-05","0.00744136413","0.00059","Connectivity","0.13920236837239","PolyDFE.input","0.0125376688394133","0.00266253143569048","0.212362558765356","avgConnec","0.0263007373184043","0.161282322986988","995","1.17477183899295e-08","0.240560300729495","266810.720670682"
"avgConnec10","avgConnec","avgConnec10_0.451398056858683_PolyDFE.output","0.451398056858683","0.618736642651901","0.186165412937267","0.0956851031697067","0.0991601034311248","0.000194884994733857","5.78528152661573e-05","0.29358784072","-1107.305454","0.00025273781","0.67821876238","1.25191957023286e-05","0.0059446973","0.00031","Connectivity","0.318973331899846","PolyDFE.input","0.0118596111244723","0.001991581878086","0.16792977924684","avgConnec","0.0163072934519241","0.451398056858683","781","9.68985630957462e-09","0.174143633130326","305980.056503876"
"avgConnec2","avgConnec","avgConnec2_0.217668317783798_PolyDFE.output","0.217668317783798","0.555145529347381","0.230772996143927","0.111838867274808","0.100645985303884","5.47769992271796e-05","0.00154184493077281","0.3251159661","-532.88333477","0.00159662193","28.6447614606","0.293734861562937","0.00155332037","0.01146","Connectivity","0.182111655172243","PolyDFE.input","0.0126631546180668","0.00261619595214884","0.20659906879888","avgConnec","0.0120762269381463","0.217668317783798","999","1.1453524231302e-08","0.210050711620008","276403.01714862"
"avgConnec3","avgConnec","avgConnec3_0.254314560251204_PolyDFE.output","0.254314560251204","0.582958523844517","0.212697907275485","0.10252976400907","0.0921959812009284","0.00106607228385558","0.00855175138614439","0.32516955627","-680.10439527","0.00961782367","8.51194900055","0.396606123603797","5.853584e-05","0.00013","Connectivity","0.206915601778174","PolyDFE.input","0.0133782605419255","0.00247362583896051","0.184898913517832","avgConnec","0.00944995098644689","0.254314560251204","994","1.10298152551674e-08","0.207777454427397","303229.479198618"
"avgConnec4","avgConnec","avgConnec4_0.284671732151046_PolyDFE.output","0.284671732151046","0.608719897055063","0.188613368815371","0.0981603425172165","0.104304601222349","5.89485712966242e-05","0.000142841818703388","0.28828451864","-1058.2519243","0.00020179039","2.8944261231","0.00256299729077723","0.0033551367","0.00037","Connectivity","0.227773782923063","PolyDFE.input","0.0129283096978697","0.00227041716741573","0.175615932822978","avgConnec","0.00853874563826363","0.284671732151046","951","1.07385739625487e-08","0.19497069181126","300978.271019919"
"avgConnec5","avgConnec","avgConnec5_0.312617259722535_PolyDFE.output","0.312617259722535","0.588024897464789","0.219993965652556","0.0983939125749449","0.0764394798577102","0.00367557171590227","0.0134721727340977","0.35992676137","-599.83433051","0.01714774445","4.14524323985","0.295498638865285","0.00014093561","0.00368","Connectivity","0.246114415233842","PolyDFE.input","0.0126594714248668","0.00228209182675533","0.18026754436782","avgConnec","0.0073193604924043","0.312617259722535","947","1.07918679935576e-08","0.178611705566151","293264.137228702"
"avgConnec6","avgConnec","avgConnec6_0.339342664116304_PolyDFE.output","0.339342664116304","0.605679208501114","0.193764737054717","0.0964709920582286","0.0933175817059406","0.00314313485396356","0.00762434582603644","0.30861410607","-924.50669024","0.01076748068","2.89700550263","0.112890217342137","0.00338520566","1e-04","Connectivity","0.262481772959259","PolyDFE.input","0.0126920808603543","0.00227690845461182","0.179395993428005","avgConnec","0.00778900520537335","0.339342664116304","966","1.08636781897652e-08","0.186849675530693","292076.050087523"
"avgConnec7","avgConnec","avgConnec7_0.365217856076598_PolyDFE.output","0.365217856076598","0.612819616343233","0.184657244583264","0.0969309263688378","0.105043406604665","0.000451972436677939","9.68336633220268e-05","0.28414241244","-1142.3233118","0.0005488061","0.57645177347","1.65892095346518e-05","0.01358786885","0.00047","Connectivity","0.277320185121923","PolyDFE.input","0.0129920975385547","0.00214998996263883","0.165484438233212","avgConnec","0.00691865464147599","0.365217856076598","850","1.0123624480095e-08","0.184333036963464","320836.118627762"
"avgConnec8","avgConnec","avgConnec8_0.388767967684135_PolyDFE.output","0.388767967684135","0.597106170309124","0.192411860238903","0.0951334560802999","0.090696022451673","0.0246519438724895","5.47047510512932e-07","0.31184748327","-901.76500451","0.02465249092","0.09331968384","0","0.00983766487","0.00297","Connectivity","0.292132306360686","PolyDFE.input","0.0127061820404583","0.00227101642045171","0.178733187768008","avgConnec","0.00700895253494554","0.388767967684135","803","1.00464420041008e-08","0.186651387657344","316186.119306512"
"avgConnec9","avgConnec","avgConnec9_0.41456743201607_PolyDFE.output","0.41456743201607","0.618815945596189","0.196304064023907","0.0906784050502545","0.0756902505096499","0.00837838409893576","0.0101329507210642","0.34243307099","-849.74154631","0.01851133482","1.65950128255","0.050232436664003","0.0043323808","7e-05","Connectivity","0.306301331158975","PolyDFE.input","0.0126731348277016","0.00226278068200845","0.178549404924056","avgConnec","0.00820590660528532","0.41456743201607","791","9.86099937427371e-09","0.166893281330913","321294.382716533"
"dnds1","dnds","dnds1_0.0265815848995605_PolyDFE.output","0.0265815848995605","0.820752922713024","0.118367910818244","0.0393467023344427","0.0193418481742886","0.000373811042398531","0.0018168049176015","0.48233376953","-2203.0958899","0.00219061596","5.34463985445","0.255396584963055","2.623044e-05","0.00014","dn/ds","0.0159684937784849","PolyDFE.input","0.0132306992653134","0.000610884315725787","0.046171733139406","dnds","0.0144893846046864","0.0265815848995605","884","1.13483363042187e-08","0.0265815848995605","291467.817630568"
"dnds10","dnds","dnds10_0.505863695582467_PolyDFE.output","0.505863695582467","0.37443704382068","0.22564354684602","0.125595018223314","0.146289839489987","0.0887048606101236","0.0393296910098764","0.26993274162","-293.83748171","0.12803455162","0.84722756035","0.00658091545037244","0.00011223819","0.00347","dn/ds","0.142327914216352","PolyDFE.input","0.0117607246677309","0.00191860734659179","0.163136830492773","dnds","0.22362087340619","0.505863695582467","1140","9.4543416622364e-09","0.505863695582467","310987.403668383"
