"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"fpkm15polcounts1","fpkm15polcounts","fpkm15polcounts1_662.313062616693_PolyDFE.output","662.313062616693","0.0730984885684102","0.407791066053466","0.283485645062197","0.235259964415927","0.000328988068329372","3.58478316706545e-05","0.35598078927","-28.430851003","0.0003648359","0.43100390719","0.001789","0.00295107082","0.00023","Expression level","238.782720012183","663.873281845472","849","0.184525557431746","662.313062616693","PolyDFE.input","0.00694006971729915","0.00277523894619016","0.3998863209216","fpkm15polcounts","2.97621866825397e-08","58296.0334141931"
"fpkm15polcounts10","fpkm15polcounts","fpkm15polcounts10_463689.36349722_PolyDFE.output","463689.36349722","0.545572465578931","0.189223960312202","0.110947521062454","0.153948178436413","0.000214311654359145","9.35629556408912e-05","0.23587953625","-981.58173564","0.00030787461","0.83958963512","0.002934","0.00048515997","0.00574","Expression level","37702.9678951524","463446.266138232","708","0.153292226387446","463689.36349722","PolyDFE.input","0.00523926442886016","0.00118773935314314","0.226699638712746","fpkm15polcounts","2.47245526431365e-08","52976.3319126684"
"fpkm15polcounts11","fpkm15polcounts","fpkm15polcounts11_616658.848081249_PolyDFE.output","616658.848081249","0.521290593727868","0.223701189266811","0.120342590529095","0.134617674166227","4.60084712391451e-05","1.94383876084281e-06","0.27779830078","-551.17029402","4.795231e-05","0.31195970386","0.000397","0.01365514137","1e-04","Expression level","48799.5614324607","616180.585305556","733","0.156658819188679","616658.848081249","PolyDFE.input","0.00585445746403532","0.00124114030594607","0.211999201218994","fpkm15polcounts","2.5267551482045e-08","57924.6614793233"
"fpkm15polcounts12","fpkm15polcounts","fpkm15polcounts12_836272.928101613_PolyDFE.output","836272.928101613","0.596430002015585","0.16965674071304","0.0986321270881263","0.135183096303248","9.7534626339657e-05","4.99253660302124e-07","0.2380629303","-1589.454163","9.803388e-05","0.18939558555","0.000769","9.440151e-05","0.00036","Expression level","75788.7791178527","835392.355306489","774","0.15365837744511","836272.928101613","PolyDFE.input","0.00581995952022279","0.00117543914906065","0.201966894267274","fpkm15polcounts","2.47836092653403e-08","58707.7477085022"
"fpkm15polcounts13","fpkm15polcounts","fpkm15polcounts13_1182350.45164426_PolyDFE.output","1182350.45164426","0.593093118016085","0.199918094747354","0.102349334586567","0.104588251649994","5.01227642154545e-05","1.07823578454624e-06","0.29666459424","-860.47160931","5.1201e-05","0.25903830694","0.000528","0.00016783285","0.00055","Expression level","126271.37013062","1180781.71791744","696","0.153917872285714","1182350.45164426","PolyDFE.input","0.0069412362366213","0.00114808229438408","0.165400262323145","fpkm15polcounts","2.48254632718894e-08","69900.369638631"
"fpkm15polcounts14","fpkm15polcounts","fpkm15polcounts14_1953279.09255175_PolyDFE.output","1953279.09255175","0.62942020308469","0.167432393828237","0.0920491391950911","0.110962666631982","0.000134978057629076","6.19202370932825e-07","0.26247178255","-1674.0212998","0.00013559726","0.18556276085","0.001283","0.00019576386","0.00032","Expression level","374801.80746484","1951443.81803377","784","0.154109461732877","1953279.09255175","PolyDFE.input","0.00682990103885626","0.00117625013794134","0.172220670731463","fpkm15polcounts","2.48563647956253e-08","68693.6836401185"
"fpkm15polcounts15","fpkm15polcounts","fpkm15polcounts15_9694710.32492427_PolyDFE.output","9694710.32492427","0.67205638763294","0.162828124606446","0.0822306689933406","0.0828235225972737","5.837248549867e-05","2.923684501277e-06","0.29962683511","-1753.0035167","6.129617e-05","0.32863681474","0.000826","0.0002108097","0.00014","Expression level","19102810.1377588","9908885.25937423","719","0.162686214585859","9694710.32492427","PolyDFE.input","0.00873806441005405","0.00115547502076689","0.1322346650864","fpkm15polcounts","2.62397120299773e-08","83252.2895075158"
"fpkm15polcounts2","fpkm15polcounts","fpkm15polcounts2_2258.83828404626_PolyDFE.output","2258.83828404626","0.214273445657019","0.366521361005344","0.212268259522721","0.206895679524915","3.99248215984249e-05","1.32946840158965e-06","0.31069640806","-70.26964369","4.125429e-05","0.29112285401","0.000218","0.00581825681","0.00025","Expression level","820.072355488579","2261.08714705874","771","0.177580191640669","2258.83828404626","PolyDFE.input","0.00694799015766171","0.00229364345901813","0.330116106524543","fpkm15polcounts","2.86419663936563e-08","60645.1915885266"
"fpkm15polcounts3","fpkm15polcounts","fpkm15polcounts3_8421.26617304759_PolyDFE.output","8421.26617304759","0.278098302440358","0.324089362847703","0.187988136398714","0.209718602943225","0.00010295952820516","2.63584179482912e-06","0.28015197082","-107.12559618","0.00010559537","0.2709724604","0.00055","0.00653462476","0.00045","Expression level","3172.98532406359","8427.3243871466","731","0.170360125198847","8421.26617304759","PolyDFE.input","0.00697880084300597","0.0022928123167257","0.328539582702595","fpkm15polcounts","2.74774395482011e-08","63495.7346622827"
"fpkm15polcounts4","fpkm15polcounts","fpkm15polcounts4_24384.4949585818_PolyDFE.output","24384.4949585818","0.347775411131334","0.271764950495752","0.162869683332706","0.217441641230208","0.000136329073257113","1.19847367429093e-05","0.24378085737","-189.25396736","0.00014831381","0.39750423551","0.000803","0.01489778209","0.00111","Expression level","5885.34470066291","24384.4949585818","640","0.168166332597855","24384.4949585818","PolyDFE.input","0.00745888568777711","0.00235857859420506","0.316210583314083","fpkm15polcounts","2.71236020319121e-08","68749.0333971997"
