"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","dS","dN","MutationRate","Ne"
"DensityGeneWindowpolcounts1","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts1_22.1330275229358_PolyDFE.output","22.1330275229358","0.457207280066976","0.235101070174731","0.134987136223393","0.1725788522349","0.000107492842229551","1.81684577704733e-05","0.25144061435","-402.59296847","0.0001256613","0.51708896521","0.000909","0.00744764733","0.00022","Gene density per 100kb","22.1330275229358","PolyDFE.input","0.00730678245461116","0.00191081392259322","0.26151235984689","DensityGeneWindowpolcounts","1.95952398844967","22.1330275229358","436","0.186854616325581","0.0351829861085271","3.01378413428356e-08","60611.3620704633"
"DensityGeneWindowpolcounts10","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts10_32.9045045045045_PolyDFE.output","32.9045045045045","0.471007259057044","0.238620521820416","0.132709310388109","0.157603213694431","5.64328736614161e-05","3.26216633861343e-06","0.26583690891","-406.44632774","5.969504e-05","0.34401411866","0.000431","0.0015104142","9e-05","Gene density per 100kb","32.9045045045045","PolyDFE.input","0.00673605391876627","0.00163738472041014","0.243077733663692","DensityGeneWindowpolcounts","0.296868715980281","32.9025270758123","554","0.161248184474684","0.0302064059493671","2.60077716894652e-08","64750.394605075"
"DensityGeneWindowpolcounts11","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts11_33.7449392712551_PolyDFE.output","33.7449392712551","0.399765355447936","0.295116163877897","0.154204152269404","0.150872679334762","3.83309007709887e-05","3.31816922904959e-06","0.30715902488","-206.81505074","4.164907e-05","0.39527787678","0.000318","0.01398601064","1e-04","Gene density per 100kb","33.7449392712551","PolyDFE.input","0.00759239192437888","0.00184473235395858","0.242971170657723","DensityGeneWindowpolcounts","0.438589866721754","33.7408906882591","494","0.1604293726337","0.0283961278974359","2.58757052635e-08","73354.4443239643"
"DensityGeneWindowpolcounts12","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts12_34_PolyDFE.output","34","0.491646991632786","0.246919845609654","0.128783665789225","0.132608176058335","3.87312828329378e-05","2.58962716703781e-06","0.29538452656","-396.66459842","4.132091e-05","0.36102976121","0.000354","4.085796e-05","9e-05","Gene density per 100kb","34","PolyDFE.input","0.00619761576648578","0.00131576058883224","0.212301091001372","DensityGeneWindowpolcounts","0","34","571","0.155171746759644","0.0279019869376855","2.50277010902652e-08","61907.5613870147"
"DensityGeneWindowpolcounts13","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts13_34.9933884297521_PolyDFE.output","34.9933884297521","0.415084575755263","0.250766092918388","0.145693905481347","0.187921069755002","0.000311908807282268","0.000222447282717697","0.24992739113","-296.66803066","0.00053435609","1.14106754468","0.004767","0.00011791637","0.00103","Gene density per 100kb","34.9933884297521","PolyDFE.input","0.00592897990773899","0.00163286124913054","0.275403404049185","DensityGeneWindowpolcounts","0.0907566992318062","34.9917081260365","603","0.155590065427746","0.0296981777369942","2.50951718431848e-08","59064.946285167"
"DensityGeneWindowpolcounts14","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts14_35.6738410596027_PolyDFE.output","35.6738410596027","0.457806586752385","0.219944282782972","0.132073918590567","0.190057713884076","0.000108404411350849","9.09357864919969e-06","0.22949802012","-477.73503211","0.00011749799","0.39080014173","0.000728","0.00678659073","0.00021","Gene density per 100kb","35.6738410596027","PolyDFE.input","0.0057343706532942","0.001613470956179","0.28136844541992","DensityGeneWindowpolcounts","0.471403217854143","35.6677740863787","602","0.15127296326","0.0265439216514286","2.43988650419355e-08","58756.5307181119"
"DensityGeneWindowpolcounts15","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts15_36.4498069498069_PolyDFE.output","36.4498069498069","0.444269471112371","0.240735019382624","0.138419444590341","0.176526182754664","4.89347884381486e-05","9.47371561865751e-07","0.25197118023","-363.38569098","4.988216e-05","0.25228778793","0.000308","4.039408e-05","0.00089","Gene density per 100kb","36.4498069498069","PolyDFE.input","0.00681618465063696","0.00188066871623697","0.275912231347961","DensityGeneWindowpolcounts","0.497138693017207","36.4423076923077","520","0.160504832851974","0.0307068173157895","2.58878762664474e-08","65824.1002514296"
"DensityGeneWindowpolcounts16","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts16_37.2112903225806_PolyDFE.output","37.2112903225806","0.473642420336268","0.224263612749252","0.130087022559288","0.171923031635192","7.78430087455817e-05","6.06971125438616e-06","0.24507982704","-479.93640626","8.391272e-05","0.3807397213","0.00057","5.817446e-05","0.00028","Gene density per 100kb","37.2112903225806","PolyDFE.input","0.00544759372897053","0.00139033994481721","0.255220931293633","DensityGeneWindowpolcounts","0.407829825513125","37.2102728731942","623","0.156876627171875","0.0313272843974026","2.53026818019153e-08","53824.2721820713"
"DensityGeneWindowpolcounts17","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts17_38.3550600343053_PolyDFE.output","38.3550600343053","0.454339541831964","0.235275444466558","0.135567327170213","0.174678913281265","0.000101998895000732","3.67743549992694e-05","0.24995653467","-397.83080106","0.00013877325","0.75298903954","0.001115","0.0033504649","1e-04","Gene density per 100kb","38.3550600343053","PolyDFE.input","0.00605055889939811","0.00154063362918533","0.254626664214209","DensityGeneWindowpolcounts","0.47757187257481","38.3506044905009","579","0.157166602343662","0.0315298294450704","2.53494519909132e-08","59671.4960698854"
"DensityGeneWindowpolcounts18","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts18_39.5714285714286_PolyDFE.output","39.5714285714286","0.506342517367658","0.206114631521115","0.120919366221268","0.166375375529959","0.000166610024390335","8.14993356096361e-05","0.23750256783","-674.54304724","0.00024810936","0.89825085975","0.00225","0.01876496327","0.00055","Gene density per 100kb","39.5714285714286","PolyDFE.input","0.00609888703462376","0.00145192572986997","0.238064047034696","DensityGeneWindowpolcounts","0.496145036578261","39.5652920962199","582","0.153790339135057","0.0299099277183908","2.48048934088802e-08","61468.5874082446"
