"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"fpkm10polcounts1","fpkm10polcounts","fpkm10polcounts1_969.244967089827_PolyDFE.output","969.244967089827","0.109399376309097","0.397324755687677","0.258890913698278","0.234374140484948","1.08137825037824e-05","3.74962283444802e-11","0.33183704334","-36.69788975","1.081382e-05","0.07954123639","4.5e-05","0.00237804768","0.00054","Expression level","517.294428878026","972.736783254644","1262","0.185164921383268","969.244967089827","PolyDFE.input","0.00689727483369094","0.00265159463503118","0.384440913109479","fpkm10polcounts","2.98653099005271e-08","57736.5081482815"
"fpkm10polcounts10","fpkm10polcounts","fpkm10polcounts10_6940169.75061756_PolyDFE.output","6940169.75061756","0.664860991492345","0.164305365537787","0.084021672863787","0.0867934996860814","1.82730552988897e-05","1.97364701137737e-07","0.29419135233","-1717.894184","1.847042e-05","0.22031903197","0.000225","0.00414718786","0.00024","Expression level","15612878.0421578","7077666.52118232","1140","0.160156188942675","6940169.75061756","PolyDFE.input","0.00788597025038112","0.00109715538303784","0.139127507231569","fpkm10polcounts","2.58316433778508e-08","76320.8338609121"
"fpkm10polcounts2","fpkm10polcounts","fpkm10polcounts2_6639.88412942795_PolyDFE.output","6639.88412942795","0.264267334452989","0.339944104886171","0.193939120085933","0.201790969054907","5.5925003884072e-05","2.54651611597545e-06","0.29522697587","-95.810925359","5.847152e-05","0.31910002539","0.000323","0.007546642","0.00035","Expression level","3648.84946879633","6648.03205987686","1089","0.169264365370809","6639.88412942795","PolyDFE.input","0.00701463174289363","0.00225258793389628","0.321127040799871","fpkm10polcounts","2.7300704092066e-08","64234.8977451116"
"fpkm10polcounts3","fpkm10polcounts","fpkm10polcounts3_30923.2199057942_PolyDFE.output","30923.2199057942","0.39466678479315","0.248644889315198","0.14921194927454","0.207457147487113","1.92280796441624e-05","1.05035580233448e-09","0.23597240166","-276.70040882","1.922913e-05","0.10188432386","9.4e-05","0.01538800882","9e-05","Expression level","10698.4761651061","30967.8017874249","971","0.165569123393993","30923.2199057942","PolyDFE.input","0.00719070541821999","0.00215561109647251","0.299777416970882","fpkm10polcounts","2.67046973216118e-08","67316.8593863882"
"fpkm10polcounts4","fpkm10polcounts","fpkm10polcounts4_90518.4944738291_PolyDFE.output","90518.4944738291","0.370134780400177","0.284402574985406","0.160371234426559","0.185026234247858","5.87041442439151e-05","6.47179575608003e-06","0.27224985667","-195.10937275","6.517594e-05","0.43296851556","0.000419","0.00466237152","0.00058","Expression level","24090.9553991733","90579.0701227923","994","0.160180110520868","90518.4944738291","PolyDFE.input","0.00682793430708164","0.00193403832162088","0.28325379750871","fpkm10polcounts","2.58355016969142e-08","66071.2378182419"
"fpkm10polcounts5","fpkm10polcounts","fpkm10polcounts5_198011.752171591_PolyDFE.output","198011.752171591","0.461424171689719","0.223117302122616","0.132107362247162","0.183328895550504","2.21911484533655e-05","7.72415466032683e-08","0.23605818019","-466.31847381","2.226839e-05","0.17655410927","0.000128","5.269933e-05","8e-05","Expression level","38712.8599459395","197929.659870894","1069","0.15510590701312","198011.752171591","PolyDFE.input","0.00591971457776144","0.00156410582759327","0.264219804358327","fpkm10polcounts","2.50170817763097e-08","59156.72569939"
"fpkm10polcounts6","fpkm10polcounts","fpkm10polcounts6_334010.430035328_PolyDFE.output","334010.430035328","0.49017022316146","0.237682400154508","0.12847392154605","0.143630693807982","4.09168553038297e-05","1.84447469619986e-06","0.27803249285","-434.18739455","4.276133e-05","0.31812285425","0.000333","0.00340821559","0.00111","Expression level","39090.3133015276","333875.98304997","1032","0.151297674477889","334010.430035328","PolyDFE.input","0.00589178054581799","0.00134735723371037","0.228684219181709","fpkm10polcounts","2.44028507222402e-08","60359.5519728395"
"fpkm10polcounts7","fpkm10polcounts","fpkm10polcounts7_501649.801655515_PolyDFE.output","501649.801655515","0.524245592251784","0.212112633858801","0.118498838597142","0.145090771412274","5.0588246402028e-05","1.57563359792778e-06","0.25961116181","-647.66457947","5.216388e-05","0.28573609754","0.000398","0.00832264805","9e-05","Expression level","62615.5826274984","501408.64659688","1075","0.153313850407932","501649.801655515","PolyDFE.input","0.00548715054278526","0.00122319689746315","0.222920236637477","fpkm10polcounts","2.47280403883761e-08","55474.9836279444"
"fpkm10polcounts8","fpkm10polcounts","fpkm10polcounts8_778705.247912646_PolyDFE.output","778705.247912646","0.585489439032052","0.175536161184487","0.101562545335659","0.137333305817802","7.77079072800113e-05","8.40722719996911e-07","0.24056519562","-1376.0366343","7.854863e-05","0.22039969796","0.000616","0.00031398636","4e-04","Expression level","104895.956748412","778385.713482822","1140","0.155709174463215","778705.247912646","PolyDFE.input","0.00578462100709367","0.00117878813337948","0.203779665415234","fpkm10polcounts","2.51143829779379e-08","57582.750611226"
"fpkm10polcounts9","fpkm10polcounts","fpkm10polcounts9_1329375.41876628_PolyDFE.output","1329375.41876628","0.596148000768361","0.191485490673378","0.101241363156764","0.111098395161497","2.65486748199928e-05","2.0156517999137e-07","0.28156496033","-1000.9849875","2.675024e-05","0.20457487014","0.000254","2.213393e-05","8e-05","Expression level","239935.602119852","1329277.333665","1059","0.153340423193291","1329375.41876628","PolyDFE.input","0.00699845861747606","0.00121638118814367","0.173807013033729","fpkm10polcounts","2.47323263214985e-08","70742.0172136482"
"length10polcounts1","length10polcounts","length10polcounts1_186.616961789376_PolyDFE.output","186.616961789376","0.448037611881941","0.237070992243721","0.137059831633567","0.177614282240771","0.000156684361744541","6.05976382554996e-05","0.24889018399","-381.86692795","0.000217282","0.78312207203","0.001742","0.00563881005","0.00138","Length","47.8267636178208","186.475746268657","2144","0.171274263824242","186.616961789376","PolyDFE.input","0.00791787687572704","0.00210000745357364","0.265223555068329","length10polcounts","2.76248812619745e-08","71655.3023399411"
"length10polcounts10","length10polcounts","length10polcounts10_1362.84974093264_PolyDFE.output","1362.84974093264","0.439681072811797","0.215777584955254","0.134010063535585","0.210243823317365","0.000232694834114255","5.47605458857126e-05","0.21447211855","-467.28677241","0.00028745538","0.60310077783","0.001799","0.00046379886","0.00327","Length","515.918626062062","1362.21724137931","580","0.125456480132132","1362.84974093264","PolyDFE.input","0.00405885124677883","0.00124516561730894","0.306777839739045","length10polcounts","2.02349161503439e-08","50146.6279452541"
"length10polcounts2","length10polcounts","length10polcounts2_300.346594740391_PolyDFE.output","300.346594740391","0.438552970237253","0.264651346192255","0.142581056572629","0.154136124417864","6.76590593492454e-05","1.08435206507274e-05","0.28529079846","-289.79187447","7.850258e-05","0.50516180293","0.000625","0.00134934966","0.00066","Length","22.486592987621","300.039784221173","1483","0.163330292355204","300.346594740391","PolyDFE.input","0.00758615341262035","0.00184456489986099","0.243148905582685","length10polcounts","2.63435955411619e-08","71992.3880622803"
"length10polcounts3","length10polcounts","length10polcounts3_366.622641509434_PolyDFE.output","366.622641509434","0.428357812542414","0.28227997919694","0.146212784345171","0.143099893475474","4.54733795679507e-05","4.05706043205001e-06","0.30686572255","-247.01948055","4.953044e-05","0.39965968974","4e-04","0.01580647001","0.00027","Length","16.215808218543","366.378633150039","1273","0.163816042742198","366.622641509434","PolyDFE.input","0.00750735548117354","0.0017625555087338","0.234777147978914","length10polcounts","2.64219423777739e-08","71033.3420404467"
"length10polcounts4","length10polcounts","length10polcounts4_429.034280936455_PolyDFE.output","429.034280936455","0.442789539078435","0.250268679247749","0.140093889929553","0.166763541574264","7.37395209633451e-05","1.06106490366242e-05","0.26549206306","-331.09283546","8.435017e-05","0.48236504706","0.000618","0.00013167712","0.00136","Length","20.257254365458","428.803497085762","1201","0.163018840568345","429.034280936455","PolyDFE.input","0.00659675874046564","0.00168176188070641","0.254937606007962","length10polcounts","2.62933613819911e-08","62722.6645219266"
"length10polcounts5","length10polcounts","length10polcounts5_486.662460567823_PolyDFE.output","486.662460567823","0.474561668439687","0.251073606744018","0.133074446065174","0.14108979770112","0.000137619729259186","6.28613207408479e-05","0.28921097676","-363.93290476","0.00020048105","0.86222603442","0.002074","0.0113884508","0.00329","Length","13.7816594343519","486.502105263158","950","0.166037564748954","486.662460567823","PolyDFE.input","0.00765357939565573","0.00168698318345494","0.220417545339961","length10polcounts","2.67802523788636e-08","71447.9767346811"
"length10polcounts6","length10polcounts","length10polcounts6_541.81284606866_PolyDFE.output","541.81284606866","0.468125335664517","0.261846188518742","0.135264247300377","0.134721495776363","3.95946359247334e-05","3.13810407526205e-06","0.30274825176","-325.14949898","4.273274e-05","0.38294419387","0.000364","0.01443800419","9e-05","Length","19.2888903015686","541.554203539823","904","0.157627417237219","541.81284606866","PolyDFE.input","0.00728554827432437","0.00157740007425438","0.216510825933778","length10polcounts","2.5423776973745e-08","71641.0889877625"
"length10polcounts7","length10polcounts","length10polcounts7_617.62423500612_PolyDFE.output","617.62423500612","0.478054950603623","0.224588114674091","0.12932225491844","0.168014331943846","2.0291147475815e-05","5.67125242323385e-08","0.24829960032","-485.06747244","2.034786e-05","0.16998893162","0.000127","1.389339e-05","0.00066","Length","23.5093740271722","617.377750611247","818","0.155192023808383","617.62423500612","PolyDFE.input","0.00717394192082566","0.0017713295888643","0.246911615456797","length10polcounts","2.50309715819973e-08","71650.6538442288"
