CarubvID	ProteinName	LocusID	ProteinLength	Pacid
10009978	XP_006305511.1	17899020	277	20890144
10009978	XP_006305512.1	17899020	277	20890144
10012966	XP_006296972.1	17891841	848	20899317
10013163	XP_006297159.1	17891316	657	20898162
10013744	XP_006297715.1	17891450	435	20899813
10014510	XP_006298439.1	17892265	240	20900939
10013459	XP_006297436.1	17892281	519	20897892
10013969	XP_006297927.1	17892995	374	20900801
10015435	XP_023642552.1	17893289	1118	20900829
10015435	XP_023642553.1	17893289	991	20900829
10009246	XP_006307618.1	17897174	421	20889936
10009878	XP_006305460.1	17898456	299	20892642
10009730	XP_006305350.1	17898633	326	20890766
10012160	XP_006306295.1	17899215	319	20892291
10023368	XP_006294350.1	17888099	396	20903992
10022802	XP_023639486.1	17888908	636	20903954
10016387	XP_006300156.1	17890786	933	20898954
10013566	XP_006297545.1	17891068	484	20900760
10014306	XP_006298245.1	17891696	289	20900343
10012969	XP_006296975.1	17891827	840	20898877
10012891	XP_006296899.1	17891828	994	20900922
10014464	XP_023642321.1	17891988	346	20897648
10014464	XP_023642321.1	17891988	346	20897649
10013069	XP_006296602.1	17893848	721	20897537
10021308	XP_006300931.1	17894161	553	20906629
10019853	XP_006300620.2	17894312	710	20906975
10020194	XP_006302184.1	17894401	491	20906307
10022320	XP_006301850.1	17894935	691	20905524
10022320	XP_023643470.1	17894935	685	20905524
10022320	XP_023643471.1	17894935	679	20905524
10021551	XP_006301154.1	17895000	696	20905962
10021551	XP_023643118.1	17895000	696	20905962
10020260	XP_023642943.1	17895124	512	20906990
10019829	XP_006300763.1	17895599	783	20906825
10020199	XP_006302191.1	17895925	488	20906203
10021279	XP_006300335.1	17896400	583	20905859
10009974	XP_006305507.1	17896675	277	20890838
10011267	XP_006304497.1	17897064	924	20891180
10009479	XP_023633069.1	17897261	365	20890126
10009479	XP_023633070.1	17897261	345	20890126
10008589	XP_006303170.1	17898338	623	20893267
10008625	XP_006307035.1	17898638	604	20890728
10008819	XP_006307219.2	17899266	477	20889498
10008819	XP_006307220.2	17899266	477	20889498
10011768	XP_006306182.1	17899632	600	20893022
10011768	XP_023645388.1	17899632	524	20893022
10009867	XP_006305456.1	17899661	301	20891563
10008458	XP_006306899.2	17899692	684	20892593
10008785	XP_006307193.1	17899806	543	20893304
10013819	XP_023642494.1	17891630	414	20897801
10012869	XP_006296880.1	17892052	1084	20898772
10014589	XP_006298483.1	17892301	220	20897495
10013740	XP_006297711.1	17892789	435	20900145
10015636	XP_006299471.1	17893823	688	20898759
10021797	XP_006301385.2	17894061	809	20905538
10021305	XP_006300927.1	17894234	1048	20906095
10019801	XP_006300395.2	17894376	801	20906969
10020744	XP_006302639.1	17894438	287	20905851
10020744	XP_006302639.1	17894438	287	20905852
10019911	XP_023643052.1	17894592	582	20905684
10022389	XP_006301913.1	17894669	713	20906323
10020184	XP_006302174.2	17895267	432	20905975
10021934	XP_023643491.1	17895854	370	20904516
10020997	XP_006302866.1	17896405	188	20906834
10019909	XP_006300820.1	17896579	671	20906684
10009833	XP_006305434.1	17897649	308	20892970
10009707	XP_006305328.1	17898092	329	20889867
10009707	XP_023645036.1	17898092	329	20889867
10008329	XP_023644910.1	17898748	826	20889674
10008329	XP_023644911.1	17898748	826	20889674
10008329	XP_023644912.1	17898748	826	20889674
10008329	XP_023644913.1	17898748	826	20889674
10008329	XP_023644914.1	17898748	826	20889674
10008329	XP_023644915.1	17898748	826	20889674
10008329	XP_023644916.1	17898748	826	20889674
10008329	XP_023644917.1	17898748	826	20889674
10008329	XP_023644918.1	17898748	826	20889674
10008329	XP_023644919.1	17898748	826	20889674
10008329	XP_023644920.1	17898748	826	20889674
10008329	XP_023644921.1	17898748	826	20889674
10008329	XP_023644922.1	17898748	826	20889674
10008329	XP_023644923.1	17898748	819	20889674
10009509	XP_006305142.1	17899102	366	20889841
10012273	XP_006306369.1	17899130	491	20889850
10008734	XP_006307144.2	17900277	519	20889454
10009769	XP_006305378.1	17900340	320	20892013
10008626	XP_006307037.2	17900491	571	20889357
10012289	XP_006306382.1	17900655	524	20893244
10012539	XP_006306525.1	17900678	566	20891764
10012059	XP_006306237.1	17900852	537	20888992
10014014	XP_006297971.1	17890778	365	20898961
10024193	XP_006295119.1	17887666	167	20901215
10024193	XP_023641009.1	17887666	167	20901215
10025436	XP_006296262.2	17887692	602	20901967
10022548	XP_006293601.1	17887697	1060	20903327
10022548	XP_006293601.1	17887697	1060	20903328
10022548	XP_006293602.1	17887697	1060	20903327
10022548	XP_006293602.1	17887697	1060	20903328
10023671	XP_006294633.1	17887816	315	20903903
10023109	XP_006294113.1	17887860	483	20903580
10023099	XP_006294107.1	17887918	486	20901248
10022648	XP_006293690.1	17888002	821	20901715
10025110	XP_006295960.1	17888117	174	20901210
10022525	XP_006293578.1	17888249	1220	20903289
10023617	XP_006294581.1	17888318	327	20902865
10023617	XP_006294581.1	17888318	327	20902866
10023617	XP_023640507.1	17888318	249	20902865
10023617	XP_023640507.1	17888318	249	20902866
10023512	XP_006294485.1	17888335	355	20902485
10023512	XP_006294485.1	17888335	355	20902486
10024396	XP_006295308.1	17888518	98	20901410
10023890	XP_006294839.1	17888604	258	20902493
10023890	XP_006294839.1	17888604	258	20902494
10023257	XP_006294260.2	17889665	399	20901938
10024282	XP_006295202.1	17889796	140	20901877
10023004	XP_006294016.1	17889832	523	20902413
10024798	XP_006295681.1	17889979	540	20902169
10022627	XP_023640970.1	17890163	854	20904051
10025284	XP_023639530.1	17890169	302	20904056
10022956	XP_023640201.1	17890175	550	20902479
10024898	XP_006295776.2	17890284	299	20903222
10024975	XP_006295846.1	17890302	866	20902146
10022655	XP_023640591.1	17890427	816	20902598
10023063	XP_006294070.1	17890511	500	20901725
10023063	XP_023639860.1	17890511	500	20901725
10025071	XP_006295934.1	17890518	305	20903789
10012812	XP_006296827.1	17890557	1481	20899534
10012812	XP_023641594.1	17890557	1480	20899534
10016404	XP_006296801.1	17890562	572	20897598
10016404	XP_023642712.1	17890562	580	20897598
10013655	XP_006297636.1	17890565	460	20900827
10013398	XP_006296699.1	17890573	545	20898081
10013398	XP_023641574.1	17890573	545	20898081
10014497	XP_023641199.1	17890575	332	20899898
10013122	XP_023641103.1	17890579	682	20900048
10013122	XP_023641104.1	17890579	681	20900048
10013122	XP_023641105.1	17890579	680	20900048
10013122	XP_023641106.1	17890579	654	20900048
10012841	XP_006296854.2	17890580	1133	20898280
10012841	XP_023641292.1	17890580	1133	20898280
10014415	XP_006298347.1	17890594	263	20897355
10016005	XP_006296784.1	17890595	678	20898130
10014563	XP_006298489.1	17890597	226	20899339
10014574	XP_023641977.1	17890598	223	20897890
10014358	XP_006298294.1	17890602	277	20900672
10013838	XP_006297802.1	17890604	409	20899665
10013838	XP_023641818.1	17890604	409	20899665
10015053	XP_006298920.1	17890609	61	20899049
10016414	XP_006300179.2	17890612	571	20898818
10016414	XP_023641063.1	17890612	624	20898818
10013314	XP_023642147.1	17890615	621	20900411
10015665	XP_006299496.1	17890616	424	20898427
10015665	XP_023642746.1	17890616	424	20898427
10013403	XP_006297378.1	17890617	540	20897815
10015239	XP_006299100.1	17890622	680	20899636
10016253	XP_006300029.1	17890625	564	20900370
10013422	XP_006297398.1	17890626	526	20900926
10013422	XP_006297398.1	17890626	526	20900927
10013422	XP_006297399.2	17890626	480	20900926
10013422	XP_006297399.2	17890626	480	20900927
10014662	XP_006298578.1	17890627	203	20898497
10014200	XP_006298151.1	17890628	321	20897528
10014689	XP_006298605.1	17890636	197	20900423
10014490	XP_006298419.1	17890637	245	20900034
10014490	XP_023641845.1	17890637	245	20900034
10014490	XP_023641846.1	17890637	245	20900034
10014490	XP_023641847.1	17890637	245	20900034
10013452	XP_023642039.1	17890640	523	20898425
